Course Code,Course Title,Units,Terms Offered,Description
COMPSCI 270,Combinatorial Algorithms and Data Structures,3 Units,"Terms offered: Spring 2023, Spring 2021, Spring 2019","Design and analysis of efficient algorithms for combinatorial problems. Network flow theory, matching theory, matroid theory; augmenting-path algorithms; branch-and-bound algorithms; data structure techniques for efficient implementation of combinatorial algorithms; analysis of data structures; applications of data structure techniques to sorting, searching, and geometric problems."
COMPSCI 271,Randomness and Computation,3 Units,"Terms offered: Fall 2022, Spring 2020, Spring 2018","Computational applications of randomness and computational theories of randomness. Approximate counting and uniform generation of combinatorial objects, rapid convergence of random walks on expander graphs, explicit construction of expander graphs, randomized reductions, Kolmogorov complexity, pseudo-random number generation, semi-random sources."
COMPSCI 273,Foundations of Parallel Computation,3 Units,"Terms offered: Spring 2012, Fall 2010, Spring 2009",". Fundamental theoretical issues in designing parallel algorithms and architectures. Shared memory models of parallel computation. Parallel algorithms for linear algegra, sorting, Fourier Transform, recurrence evaluation, and graph problems. Interconnection network based models. Algorithm design techniques for networks like hypercubes, shuffle-exchanges, threes, meshes and butterfly networks. Systolic arrays and techniques for generating them."
COMPSCI 274,Computational Geometry,3 Units,"Terms offered: Spring 2019, Spring 2017, Spring 2015",". Constructive problems in computational geometry: convex hulls, triangulations, Voronoi diagrams, arrangements of hyperplanes; relationships among these problems. Search problems: advanced data structures; subdivision search; various kinds of range searches. Models of computation; lower bounds."
COMPSCI 276,Cryptography,3 Units,"Terms offered: Fall 2020, Fall 2018, Fall 2017","Graduate survey of modern topics on theory, foundations, and applications of modern cryptography. One-way functions; pseudorandomness; encryption; authentication; public-key cryptosystems; notions of security. May also cover zero-knowledge proofs, multi-party cryptographic protocols, practical applications, and/or other topics, as time permits."
COMPSCI 280A,Intro to Computer Vision and Computational Photography,4 Units,Terms offered: Fall 2023,"This course introduces students to computing with visual data (images and video). We will cover acquisition, representation, and manipulation of visual information from digital photographs (image processing), image analysis and visual understanding (computer vision), and image synthesis (computational photography). Key algorithms will be presented, ranging from classical to contemporary, with an emphasis on using these techniques to build practical systems. The hands-on"
COMPSCI C280,Computer Vision,3 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","Paradigms for computational vision. Relation to human visual perception. Mathematical techniques for representing and reasoning, with curves, surfaces and volumes. Illumination and reflectance models. Color perception. Image segmentation and aggregation. Methods for bottom-up three dimensional shape recovery: Line drawing analysis, stereo, shading, motion, texture. Use of object models for prediction and recognition."
COMPSCI C281A,Statistical Learning Theory,3 Units,"Terms offered: Fall 2023, Fall 2021, Fall 2020","Classification regression, clustering, dimensionality, reduction, and density estimation. Mixture models, hierarchical models, factorial models, hidden Markov, and state space models, Markov properties, and recursive algorithms for general probabilistic inference nonparametric methods including decision trees, kernal methods, neural networks, and wavelets. Ensemble methods."
COMPSCI C281B,Advanced Topics in Learning and Decision Making,3 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","Recent topics include: Graphical models and approximate inference algorithms. Markov chain Monte Carlo, mean field and probability propagation methods. Model selection and stochastic realization. Bayesian information theoretic and structural risk minimization approaches. Markov decision processes and partially observable Markov decision processes. Reinforcement learning."
COMPSCI 282A,"Designing, Visualizing and Understanding Deep Neural Networks",4 Units,"Terms offered: Fall 2023, Spring 2023, Fall 2022","Deep Networks have revolutionized computer vision, language technology, robotics and control. They have growing impact in many other areas of science and engineering. They do not however, follow a closed or compact set of theoretical principles. In Yann Lecun's words they require ""an interplay between intuitive insights, theoretical modeling, practical implementations, empirical studies, and scientific analyses."" This course attempts"
COMPSCI 284A,Foundations of Computer Graphics,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","Techniques of modeling objects for the purpose of computer rendering: boundary representations, constructive solids geometry, hierarchical scene descriptions. Mathematical techniques for curve and surface representation. Basic elements of a computer graphics rendering pipeline; architecture of modern graphics display devices. Geometrical transformations such as rotation, scaling, translation, and their matrix representations. Homogeneous"
COMPSCI 284B,Advanced Computer Graphics Algorithms and Techniques,4 Units,"Terms offered: Spring 2024, Spring 2022, Spring 2019","This course provides a graduate-level introduction to advanced computer graphics algorithms and techniques. Students should already be familiar with basic concepts such as transformations, scan-conversion, scene graphs, shading, and light transport. Topics covered in this course include global illumination, mesh processing, subdivision surfaces, basic differential geometry, physically based animation, inverse kinematics, imaging and computational"
COMPSCI 285,"Deep Reinforcement Learning, Decision Making, and Control",3 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021","Intersection of control, reinforcement learning, and deep learning. Deep learning methods, which train large parametric function approximators, achieve excellent results on problems that require reasoning about unstructured real-world situations (e.g., computer vision, speech recognition, NLP). Advanced treatment of the reinforcement learning formalism, the most critical model-free reinforcement learning algorithms (policy gradients, value function"
COMPSCI 286,Implementation of Data Base Systems,3 Units,"Terms offered: Fall 2009, Spring 2009, Spring 2008","Implementation of data base systems on modern hardware systems. Considerations concerning operating system design, including buffering, page size, prefetching, etc. Query processing algorithms, design of crash recovery and concurrency control systems. Implementation of distributed data bases and data base machines."
COMPSCI 286A,Introduction to Database Systems,4 Units,"Terms offered: Spring 2018, Fall 2017, Spring 2017","Access methods and file systems to facilitate data access. Hierarchical, network, relational, and object-oriented data models. Query languages for models. Embedding query languages in programming languages. Database services including protection, integrity control, and alternative views of data. High-level interfaces including application generators, browsers, and report writers. Introduction to transaction processing. Database system implementation"
COMPSCI 287,Advanced Robotics,3 Units,"Terms offered: Fall 2019, Fall 2015, Spring 2015","Advanced topics related to current research in algorithms and artificial intelligence for robotics. Planning, control, and estimation for realistic robot systems, taking into account: dynamic constraints, control and sensing uncertainty, and non-holonomic motion constraints."
COMPSCI 287H,Algorithmic Human-Robot Interaction,4 Units,"Terms offered: Spring 2023, Spring 2021, Spring 2020","As robot autonomy advances, it becomes more and more important to develop algorithms that are not solely functional, but also mindful of the end-user. How should the robot move differently when it's moving in the presence of a human? How should it learn from user feedback? How should it assist the user in accomplishing day to day tasks? These are the questions we will investigate in this course."
COMPSCI 288,Natural Language Processing,4 Units,"Terms offered: Fall 2023, Spring 2023, Spring 2022","Methods and models for the analysis of natural (human) language data. Topics include: language modeling, speech recognition, linguistic analysis (syntactic parsing, semantic analysis, reference resolution, discourse modeling), machine translation, information extraction, question answering, and computational linguistics techniques."
COMPSCI 289A,Introduction to Machine Learning,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This course provides an introduction to theoretical foundations, algorithms, and methodologies for machine learning, emphasizing the role of probability and optimization and exploring a variety of real-world applications. Students are expected to have a solid foundation in calculus and linear algebra as well as exposure to the basic tools of logic and probability, and should be familiar with at least one modern, high-level programming lang"
COMPSCI 294,Special Topics,1 - 4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023",Topics will vary from semester to semester. See Computer Science Division announcements.
COMPSCI 297,Field Studies in Computer Science,12.0 Units,"Terms offered: Fall 2022, Spring 2016, Fall 2015",Supervised experience in off-campus companies relevant to specific aspects and applications of electrical engineering and/or computer science. Written report required at the end of the semester.
COMPSCI 298,"Group Studies Seminars, or Group Research",1 - 4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Advanced study in various subjects through seminars on topics to be selected each year, informal group studies of special problems, group participation in comprehensive design problems, or group research on complete problems for analysis and experimentation."
COMPSCI 299,Individual Research,1 - 12 Units,"Terms offered: Fall 2023, Fall 2022, Summer 2017 Second 6 Week Session",Investigations of problems in computer science.
COMPSCI 300,Teaching Practice,1 - 6 Units,"Terms offered: Fall 2012, Fall 2011, Spring 2011","Supervised teaching practice, in either a one-on-one tutorial or classroom discussion setting."
COMPSCI 302,Designing Computer Science Education,3 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","Discussion and review of research and practice relating to the teaching of computer science: knowledge organization and misconceptions, curriculum and topic organization, evaluation, collaborative learning, technology use, and administrative issues. As part of a semester-long project to design a computer science course, participants invent and refine a variety of homework and exam activities, and evaluate alternatives for textbooks, grading"
COMPSCI 370,Adaptive Instruction Methods in Computer Science,3 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This is a course for aspiring teachers or those who want to instruct with expertise from evidence-based research and proven equity-oriented practices. It provides pedagogical training by introducing the big ideas of teaching and learning, and illustrating how to put them into practice. The course is divided into three sections instructing the individual; a group; and psycho-social factors that affect learning at any level. These sections are"
COMPSCI 375,Teaching Techniques for Computer Science,2 Units,"Terms offered: Spring 2024, Spring 2023, Fall 2022","Discussion and practice of techniques for effective teaching, focusing on issues most relevant to teaching assistants in computer science courses."
COMPSCI 399,Professional Preparation: Supervised Teaching of Computer Science,1 or 2 Units,"Terms offered: Spring 2020, Fall 2018, Fall 2016","Discussion, problem review and development, guidance of computer science laboratory sections, course development, supervised practice teaching."
COMPSCI 602,Individual Study for Doctoral Students,1 - 8 Units,"Terms offered: Fall 2015, Fall 2014, Spring 2014","Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. (and other doctoral degrees)."
DATA 4AC,Data and Justice,4 Units,"Terms offered: Spring 2023, Spring 2022, Spring 2021","This course engages students with fundamental questions of justice in relation to data and computing in American society. Data collection, visualization, and analysis have been entangled in the struggle for racial and social justice because they can make injustice visible, imaginable, and thus actionable. Data has also been used to oppress minoritized communities and institutionalize, rationalize, and naturalize systems of racial violence."
DATA 6,Introduction to Computational Thinking with Data,3 Units,Terms offered: Prior to 2007,"An introduction to computational thinking and quantitative reasoning, preparing students for further coursework (especially Foundations of Data Science, Data 8). Emphasizes the use of computation to gain insight about quantitative problems. Uses data from various domains in the social sciences in order to develop an understanding of the societal implications of data science. Expressions, data types, collections, and tables in Python. Programming practices, abstraction"
DATA C8,Foundations of Data Science,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session, Spring 2023, Fall 2022, Spring 2022, Fall 2021, Summer 2021 8 Week Session, Fall 2020","Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference"
DATA 88,Data Science Connector,2 - 4 Units,"Terms offered: Spring 2022, Spring 2021, Fall 2020","Designed to be taken in conjunction with the Foundations of Data Science (COMPSCI/INFO/STAT C8) course, each connector course will flesh out data science ideas in the context of one particular field. Blending inferential thinking and computational thinking, the course relies on the increasing availability of datasets across a wide range of human endeavor, and students' natural interest in such data, to teach students to work actively with data"
DATA 88E,Economic Models,2 Units,"Terms offered: Fall 2023, Fall 2022, Spring 2022","This class aims to motivate and illustrate key concepts in economics through a series of exercises and examples that use Python Jupyter notebooks. The class covers concepts from introductory economics, microeconomic theory, econometrics, development economics, environmental economics and public economics. The course provides data science students a pathway to apply Python programming and data science concepts within the discipline of economics."
DATA C88C,Computational Structures in Data Science,3 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023, Fall 2022","Development of Computer Science topics appearing in Foundations of Data Science (C8); expands computational concepts and techniques of abstraction. Understanding the structures that underlie the programs, algorithms, and languages used in data science and elsewhere. Mastery of a particular programming language while studying general techniques for managing program complexity, e.g., functional, object-oriented, and declarative programming."
DATA C88S,Probability and Mathematical Statistics in Data Science,3 Units,"Terms offered: Spring 2024, Summer 2023 8 Week Session, Spring 2023, Fall 2022","In this connector course we will state precisely and prove results discovered while exploring data in Data C8. Topics include: probability, conditioning, and independence; random variables; distributions and joint distributions; expectation, variance, tail bounds; Central Limit Theorem; symmetries in random permutations; prior and posterior distributions; probabilistic models; bias-variance tradeoff; testing hypotheses;"
DATA 94,Special Topics in Data Science,1 - 4 Units,Terms offered: Spring 2021,Topics will vary semester to semester.
DATA C100,Principles & Techniques of Data Science,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session, Spring 2023, Fall 2022, Fall 2021, Fall 2020","In this course, students will explore the data science lifecycle, including question formulation, data collection and cleaning, exploratory data analysis and visualization, statistical inference and prediction , and decision-making.  This class will focus on quantitative critical thinking  and key principles and techniques needed to carry out this cycle. These include languages for"
DATA 101,Data Engineering,4 Units,"Terms offered: Fall 2023, Fall 2022","This course will cover the principles and practices of managing data at scale, with a focus on use cases in data analysis and machine learning. We will cover the entire life cycle of data management and science, ranging from data preparation to exploration, visualization and analysis, to machine learning and collaboration, with a focus on ensuring reliable, scalable operationalization."
DATA C102,"Data, Inference, and Decisions",4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This course develops the probabilistic foundations of inference in data science, and builds a comprehensive view of the modeling and decision-making life cycle in data science including its human, social, and ethical implications. Topics include: frequentist and Bayesian decision-making, permutation testing, false discovery rate, probabilistic interpretations of models, Bayesian hierarchical models, basics of experimental design, confidence"
DATA C104,Human Contexts and Ethics of Data - DATA/History/STS,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023, Spring 2022, Fall 2020, Spring 2020","This course teaches you to use the tools of applied historical thinking and Science, Technology, and Society (STS) to recognize, analyze, and shape the human contexts and ethics of data. It addresses key topics such as doing ethical data science amid shifting definitions of human subjects, consent, and privacy; the changing relationship between data, democracy, and law; the role of data analytics in how"
DATA C131A,Statistical Methods for Data Science,4 Units,"Terms offered: Fall 2023, Spring 2023, Fall 2022","This course teaches a broad range of statistical methods that are used to solve data problems. Topics include group comparisons and ANOVA, standard parametric statistical models, multivariate data visualization, multiple linear regression, logistic regression and classification, regression trees and random forests. An important focus of the course is on statistical computing and reproducible statistical analysis. The course and lab include hands-on"
DATA C140,Probability for Data Science,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023, Spring 2022","An introduction to probability, emphasizing the combined use of mathematics and programming. Discrete and continuous families of distributions. Bounds and approximations. Transforms and convergence. Markov chains and Markov Chain Monte Carlo. Dependence, conditioning, Bayesian methods. Maximum likelihood, least squares prediction, the multivariate normal, and multiple regression. Random permutations, symmetry, and order statistics."
DATA 144,Data Mining and Analytics,3 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021","Data Mining and Analytics introduces students to practical fundamentals of data mining and emerging paradigms of data mining and machine learning with enough theory to aid intuition building. The course is project-oriented, with a project beginning in class every week. The in-class portion of the project is meant to be collaborative and a time for the instructor and GSIs to work closely with project groups to understand the objectives, help work"
DATA 188,Advanced Data Science Connector,2 Units,Terms offered: Spring 2024,"Designed to be taken concurrently with or after Principles and Techniques of Data Science (Data C100) or Probability for Data Science (Data C140) or both, each connector course consists of an intensive study of data science ideas in a particular field. Topics include the development of the theory of data science and the application of data science in a variety of domains. Topics vary by field, and more than one topic may be offered in a semester."
DATA H195A,Data Science Honors Thesis Seminar,2 Units,Terms offered: Prior to 2007,"The senior honors thesis seminar gives students an opportunity to experience firsthand what it means to do data science research. Over two semesters, students will learn to formulate a research problem, design a research strategy, collect evidence, and write up the findings and analysis. The first semester focuses primarily on the preparation and implementation of a research proposal, as well as data management strategies. During the second semester, we will emphasize"
DATA H195B,Data Science Honors Thesis Seminar,2 Units,Terms offered: Spring 2020,"The senior honors thesis seminar gives students an opportunity to experience firsthand what it means to do data science research. Over two semesters, students will learn to formulate a research problem, design a research strategy, collect evidence, and write up the findings and analysis. The first semester focuses primarily on the preparation and implementation of a research proposal, as well as data management strategies. During the second semester, we will emphasize"
DATA 197,Field Studies in Data Science,1 - 4 Units,Terms offered: Fall 2019,Students take part in organized individual field sponsored programs with off-campus organizations or tutoring/mentoring relevant to specific aspects and applications of data science on or off campus. Note Summer CPT or OPT students: written report required. Course may not count toward major requirements but will be counted in the cumulative units toward graduation.
DATA 198,Directed Group Studies for Advanced Undergraduates,1 - 4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Written proposal must be approved by a faculty sponsor, who will serve as Instructor of Record. Seminars for the group study of selected topics, which will vary from semester to semester. Topics may be initiated by students."
DATA 199,Supervised Independent Study and Research,1 - 4 Units,Terms offered: Prior to 2007,"Independent study and research by arrangement with faculty or staff. This course allows students to obtain course credit for participation in undergraduate research. Students may opt either to participate in a semester-long series of workshops which provide a guided research experience with project milestone assignments and regular feedback, or they may opt to work independently with supervision from one faculty research mentor."
DATA 200S,Principles and Techniques of Data Science,3 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","Explores the data science lifecycle: question formulation, data collection and cleaning, exploratory, analysis, visualization, statistical inference, prediction, and decision-making. Focuses on quantitative critical thinking and key principles and techniques: languages for transforming, querying and analyzing data; algorithms for machine learning methods: regression, classification and clustering; principles of informative visualization; measurement"
DATA C200,Principles and Techniques of Data Science,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023, Spring 2022, Spring 2021, Spring 2020","Explores the data science lifecycle: question formulation, data collection and cleaning, exploratory, analysis, visualization, statistical inference, prediction, and decision-making. Focuses on quantitative critical thinking and key principles and techniques: languages for transforming, querying and analyzing data; algorithms for machine learning methods: regression, classification and clustering; principles"
DATA C204,Human Contexts and Ethics of Data,4 Units,Terms offered: Not yet offered,"This course teaches you to use approaches from the across the humanities and interpretive social sciences and tools of Science,"
DATA 298,Directed Group Studies for Graduates,1 - 4 Units,Terms offered: Not yet offered,
DATA 375,Professional Preparation: Teaching of Data Science,2 Units,Terms offered: Spring 2024,"Discussion and practice of techniques for effective teaching of student-centered learning, focusing on issues most relevant to teaching assistants in data science courses. Discussion, review and development of formative and summative assessments, guidance of laboratory classes, course development, supervised practice teaching, and culturally relevant pedagogy."
EECS 16A,Designing Information Devices and Systems I,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session","This course and its follow-on course EECS16B focus on the fundamentals of designing modern information devices and systems that interface with the real world. Together, this course sequence provides a comprehensive foundation for core EECS topics in signal processing, learning, control, and circuit design while introducing key linear-algebraic concepts motivated by application contexts. Modeling is emphasized in a way that deepens"
EECS 16B,Designing Information Devices and Systems II,4 Units,"Terms offered: Spring 2024, Fall 2023, Summer 2023 8 Week Session",This course is a follow-on to
EECS 47D,Completion of work in Electrical Engineering 16A,1 - 3 Units,Terms offered: Fall 2021,"This course allows students who have had a linear algebra and/or basic circuit theory course to complete the work in EE16A and be ready for EE16B or EE47E. The course focuses on the fundamentals of designing modern information devices and systems that interface with the real world and provides a comprehensive foundation for core EECS topics in signal processing, learning, control, and circuit design. Modeling is emphasized in a way that deepens mathematical maturity"
EECS 47E,Completion of work in Electrical Engineering 16B,1 - 3 Units,Terms offered: Prior to 2007,"This course allows students who have had a linear algebra and/or basic circuit theory course to complete the work in EE16B. The course focuses on the fundamentals of designing modern information devices and systems that interface with the real world and provides a comprehensive foundation for core EECS topics in signal processing (DFT), learning (SVD/PCA), feedback control, and circuit design. Modeling is emphasized in a way that deepens mathematical maturity, and"
EECS 47F,Completion of work in Computer Science 70,1 - 3 Units,Terms offered: Prior to 2007,"This course allows students who have had a discrete math and/or probability course to complete the work in CS70. Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples"
EECS C106A,Introduction to Robotics,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021, Fall 2020, Fall 2019","This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic"
EECS C106B,Robotic Manipulation and Interaction,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022, Spring 2021, Spring 2020, Spring 2019","The course is a sequel to EECS/BIOE/MEC106A/EECSC206A, which covers the mathematical fundamentals of robotics including kinematics, dynamics and control as well as an introduction to path planning, obstacle avoidance, and computer vision. This course will present several areas of robotics and active vision, at a deeper level and informed by current research. Concepts will include the review at an advanced"
EECS 126,Probability and Random Processes,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This course covers the fundamentals of probability and random processes useful in fields such as networks, communication, signal processing, and control. Sample space, events, probability law. Conditional probability. Independence. Random variables. Distribution, density functions. Random vectors. Law of large numbers. Central limit theorem. Estimation and detection. Markov chains."
EECS 127,Optimization Models in Engineering,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization."
EECS 149,Introduction to Embedded and Cyber Physical Systems,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021","This course introduces students to the basics of modeling, analysis, and design of embedded, cyber-physical systems. Students learn how to integrate computation with physical processes to meet a desired specification. Topics include models of computation, control, analysis and verification, interfacing with the physical world, real-time behaviors, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component"
EECS 151,Introduction to Digital Design and Integrated Circuits,3 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","An introduction to digital and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher-levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits)."
EECS 151LA,Application Specific Integrated Circuits Laboratory,2 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g., implementation of a three-stage RISC-V processor with a register file and caches. The design is mapped"
EECS 151LB,Field-Programmable Gate Array Laboratory,2 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms. A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow. Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail. The labs exercises culminate with a large design project, e.g., an implementation of a full three-stage RISC-V processor"
EECS C206A,Introduction to Robotics,4 Units,"Terms offered: Fall 2023, Fall 2022","This course is an introduction to the field of robotics. It covers the fundamentals of kinematics, dynamics, control of robot manipulators, robotic vision, sensing, forward & inverse kinematics of serial chain manipulators, the manipulator Jacobian, force relations, dynamics, & control. We will present techniques for geometric motion planning & obstacle avoidance. Open problems in trajectory generation with dynamic constraints will also be discussed."
EECS C206B,Robotic Manipulation and Interaction,4 Units,"Terms offered: Spring 2024, Spring 2023",This course is a sequel to
EECS 208,Computational Principles for High-dimensional Data Analysis,4 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2021","Introduction to fundamental geometric and statistical concepts and principles of low-dimensional models for high-dimensional signal and data analysis, spanning basic theory, efficient algorithms, and diverse real-world applications. Systematic study of both sampling complexity and computational complexity for sparse, low-rank, and low-dimensional models   including important cases such as matrix completion, robust principal component analysis,"
EECS 219A,Numerical Simulation and Modeling,4 Units,Terms offered: Spring 2024,"Numerical simulation and modeling are enabling technologies that pervade science and engineering. This course provides a detailed introduction to the fundamental principles of these technologies and their translation to engineering practice. The course emphasizes hands-on programming in MATLAB and application to several domains, including circuits, nanotechnology, and biology."
EECS 219C,"Formal Methods: Specification, Verification, and Synthesis",3 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","Introduction to the theory and practice of formal methods for the design and analysis of systems, with a focus on algorithmic techniques. Covers selected topics in computational logic and automata theory including modeling and specification formalisms, temporal logics, satisfiability solving, model checking, synthesis, learning, and theorem proving. Applications to software and hardware design, cyber-physical systems, robotics, computer security"
EECS 225A,Statistical Signal Processing,3 Units,"Terms offered: Spring 2023, Fall 2021, Fall 2020","This course connects classical statistical signal processing (Hilbert space filtering theory by Wiener and Kolmogorov, state space model, signal representation, detection and estimation, adaptive filtering) with modern statistical and machine learning theory and applications. It focuses on concrete algorithms and combines principled theoretical thinking with real applications."
EECS 225B,Digital Image Processing,3 Units,"Terms offered: Fall 2023, Fall 2022, Fall 2020","This course deals with computational methods as applied to digital imagery. It focuses on image sensing and acquisition, image sampling and quantization; spatial transformation, linear and nonlinear filtering; introduction to convolutional neural networks, and GANs; applications of deep learning methods to image processing problems; image enhancement, histogram equalization, image restoration, Weiner filtering, tomography, image reconstruction"
EECS 227AT,Optimization Models in Engineering,4 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization."
EECS C249B,Cyber Physical System Design Prinicples and Applications,4 Units,"Terms offered: Spring 2020, Spring 2019, Spring 2016","Principles of embedded system design. Focus on design methodologies and foundations. Platform-based design and communication-based design and their relationship with design time, re-use, and performance. Models of computation and their use in design capture, manipulation, verification, and synthesis. Mapping into architecture and systems platforms. Performance estimation. Scheduling and real-time requirements. Synchronous languages and time-triggered"
EECS 251A,Introduction to Digital Design and Integrated Circuits,3 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","An introduction to digital circuit and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits)."
EECS 251B,Advanced Digital Integrated Circuits and Systems,4 Units,"Terms offered: Spring 2024, Spring 2023, Spring 2022","This course aims to convey a knowledge of advanced concepts of digital circuit and system-on-a-chip design in state-of-the-art technologies. Emphasis is on the circuit and system design and optimization for both energy efficiency and high performance for use in a broad range of applications, from edge computing to datacenters. Special attention will be devoted to the most important challenges facing digital circuit designers in the coming"
EECS 251LA,Introduction to Digital Design and Integrated Circuits Lab,2 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g. implementation of a 3-stage RISC-V processor with a register file and caches. The design is mapped to"
EECS 251LB,Introduction to Digital Design and Integrated Circuits Lab,2 Units,"Terms offered: Spring 2024, Fall 2023, Spring 2023","This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms. A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow. Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail. The labs exercises culminate with a large design project, e.g., an implementation of a full 3-stage RISC-V processor"
